
order_id,user_id,product,category,price,quantity,order_date
1,101,Phone,Electronics,20000,1,2024-01-01
2,102,Laptop,Electronics,50000,1,2024-01-02
3,103,,Electronics,15000,1,2024-01-03
4,104,Shoes,Fashion,2000,2,2024-01-04
5,105,T-shirt,Fashion,800,3,2024-01-05
6,101,Phone,Electronics,20000,1,2024-01-01
7,106,Watch,Accessories,,1,2024-01-06
8,107,Headphones,Electronics,3000,,2024-01-07
9,108,Bag,Fashion,1500,1,2024-01-08
10,109,,Fashion,1000,2,2024-01-09
11,110,Tablet,Electronics,25000,1,2024-01-10
12,111,Sandals,Fashion,1200,2,2024-01-11
13,112,Camera,Electronics,45000,1,2024-01-12
14,113,Watch,Accessories,5000,1,2024-01-13
15,114,Backpack,Fashion,1800,2,2024-01-14
16,115,Phone,Electronics,20000,1,2024-01-15
17,116,,Electronics,22000,1,2024-01-16
18,117,T-shirt,Fashion,900,,2024-01-17
19,118,Headphones,Electronics,3500,2,2024-01-18
20,119,Charger,Electronics,500,3,2024-01-19
21,120,Shoes,Fashion,2500,1,2024-01-20
22,121,Bag,Fashion,,2,2024-01-21
23,122,Laptop,Electronics,55000,1,2024-01-22
24,123,Tablet,Electronics,26000,1,2024-01-23
25,124,Camera,Electronics,47000,1,2024-01-24
26,125,Sandals,Fashion,1300,2,2024-01-25
27,126,Watch,Accessories,5200,1,2024-01-26
28,127,Backpack,Fashion,1900,2,2024-01-27
29,128,Phone,Electronics,21000,1,2024-01-28
30,129,,Fashion,1100,2,2024-01-29
